idx,title,url,marca,precio,envio,info
1,Celular Smartphone Motorola Edge 30 Pro...,https://www.falabella.com/falabella-cl/product/16210958/Celular-Smartphone-Motorola-Edge-30-Pro-256-GB5G/16210958,MOTOROLA,$  399.990  ,10 Cuotas s/interés CMR,"Atrévete a ser Edge
El nuevo motorola edge 30 pro te lleva al más alto nivel para que puedas disfrutar al máximo. Gracias al procesador Qualcomm® Snapdragon®1 8 Gen 1, el más avanzado hasta hoy1, y el sistema de tres cámaras súper avanzadas para fotos y selfies asombrosas, disfruta de un desempeño sin precedentes. Toma fotos nítidas y brillantes en condiciones de poca luz gracias al enfoque más rápido y preciso jamás visto2
Graba videos HDR10+ con más de mil millones de colores. Toma imágenes ultra gran angular con una resolución increíble. Además, toma selfies de 60 MP ultranítidas. La pantalla fluida de 144 Hz y la increíble claridad del sonido envolvente Dolby Atmos®3 te permitirán disfrutar de todas estas funciones. Es momento de abrirte tu propio camino. El motorola edge 30 pro está aquí. 1. Comparado con modelos motorola edge lanzados antes de febrero de 2022. Según la combinación de las clasificaciones publicadas de AnTuTu y una puntuación interna combinada del edge 30 pro de 1,025,357. Los resultados pueden variar según la temperatura y la configuración. Según una conectividad de red 5G sub-6 GHz que proporciona velocidades de descarga de 125 a 360 Mbps al usuario promedio. Se requieren un plan de servicio 5G y cobertura de red 5G, que están disponibles exclusivamente en zonas determinadas. El dispositivo no es compatible con todas las redes 5G. La cobertura/compatibilidad podría ampliarse a áreas adicionales en el futuro. Ponte en contacto con tu operador de servicios de red para obtener más detalles y accesibilidad. Esta función puede requerir una actualización de SW, que se lanzará una vez que el operador de servicios de red habilite la red compatible.(Todos los demás operadores y MVNO)Comparado con modelos motorola edge lanzados antes de febrero de 2022. Según la combinación de las clasificaciones publicadas de AnTuTu y una puntuación interna combinada del edge 30 pro de 1,025,357. Los resultados pueden variar según la temperatura y la configuración. Según una conectividad de red 5G sub-6 GHz que proporciona velocidades de descarga de 125 a 360 Mbps al usuario promedio. Se podrá acceder a la conectividad 5G cuando la red esté disponible en el operador. Se requieren un plan de servicio 5G y cobertura de red 5G, que están disponibles exclusivamente en zonas determinadas. El dispositivo no es compatible con todas las redes 5G. La cobertura/compatibilidad podría ampliarse a áreas adicionales en el futuro. Ponte en contacto con tu operador de servicios de red para obtener más detalles y accesibilidad. Esta función puede requerir una actualización de SW, que se lanzará una vez que el operador de servicios de red habilite la red compatible.2. Comparado con modelos motorola edge lanzados antes de febrero de 2022. El equipo cuenta con 32 veces más píxeles para el enfoque.1. Qualcomm Snapdragon es un producto de Qualcomm Technologies, Inc. y/o sus subsidiarias. Qualcomm y Snapdragon son marcas registradas de Qualcomm Incorporated, registradas en los Estados Unidos y en otros países.3. Dolby y Dolby Atmos® son marcas comerciales de Dolby Laboratories, Inc., registradas y no registradas en los Estados Unidos u otros países."
1,Celular Smartphone Xiaomi Redmi Note 12 Pro Plus...,https://www.falabella.com/falabella-cl/product/prod87631594/Celular-Smartphone-Xiaomi-Redmi-Note-12-Pro-Plus-256GB/16764481,XIAOMI,$  439.990  ,10 Cuotas s/interés CMR,
1,Apple iPhone 14 Pro Max 256 GB,https://www.falabella.com/falabella-cl/product/prod60647998/Apple-iPhone-14-Pro-Max-256-GB/16563321,APPLE,$  1.299.990  ,10 Cuotas s/interés CMR,"iPhone 14 Pro. Se pasa de Pro.
El iPhone 14 Plus tiene una pantalla de 6,7 pulgadas y batería que te acompaña todo el día para que pienses engrande. Su nuevo sistema de dos cámaras te permite tomar fotos espectaculares en condiciones de mucha opoca luz. Y viene con Detección de Choques3, una nueva funcionalidad de seguridad que pide ayuda cuando noestás en condiciones de hacerlo."
1,Apple iPhone 11 64 GB,https://www.falabella.com/falabella-cl/product/prod22263310/Apple-iPhone-11-64-GB/14673166,APPLE,$  399.990  ,10 Cuotas s/interés CMR,"iPhone 11
Cámaras,Pantalla y gran Rendimiento.
Diseño. Una obsesión por los detalles"
1,Celular Smartphone Samsung Galaxy S23...,https://www.falabella.com/falabella-cl/product/prod76722771/Celular-Smartphone-Samsung-Galaxy-S23-256GB-5G/16689925,SAMSUNG,$  699.990  ,10 Cuotas s/interés CMR,"Galaxy S23 | S23+
Más luz para tu noche
Prepárate para una Gallery llena de tomas nocturnas épicas que todos querrán. La IA mejorada de la cámara nocturna mantiene los detalles claros, por lo que las fotos y los videos con poca luz serán brillantes y coloridos desde el anochecer hasta el amanecer y otra vez."
1,Apple iPhone 11 128 GB,https://www.falabella.com/falabella-cl/product/prod22263309/Apple-iPhone-11-128-GB/14673309,APPLE,$  469.990  ,10 Cuotas s/interés CMR,"iPhone 11
Cámaras,Pantalla y gran Rendimiento.
Diseño. Una obsesión por los detalles"
1,Celular Samsung Galaxy S21 Ultra 5G 128GB...,https://www.falabella.com/falabella-cl/product/120124598/Celular-Samsung-Galaxy-S21-Ultra-5G-128GB-Negro-mas-Smartwatch-S8-Obsequio/120124600,SAMSUNG,$  539.990  ,10 cuotas sin interés,"Debes homologar tu celular cuando llegue a Chile para que lo puedas utilizar. ¡Te ayudaremos! Conoce cómo
https://www.falabella.com/falabella-cl/page/compra-internacional

***GARANTÍA 12 MESES * ENVÍO DE RETORNO GRATIS***

SAMSUNG GALAXY S21 ULTRA 5G 128GB NEGRO
-PANTALLA: 6,8"" Dynamic AMOLED 2X touchscreen
-RESOLUCIÓN: 3200 x 1440 pixeles
-ALMACENAMIENTO: 128GB
-MEMORIA RAM: 12GB
-CÁMARA: Cuádruple 108MP + 10MP + 10MP + 12MP
-CÁMARA FRONTAL: 40 MP (f/2.2)
-BATERÍA: 5000mAh (no extraíble)
-SISTEMA OPERATIVO: Android 11
-DIMENSIONES: 165.1 x 75.6 x 8.9 mm

-PANTALLA:
La pantalla del Samsung Galaxy S21 Ultra tiene un tamaño de 6,8 pulgadas. Cuenta con una resolución de 3.200 x 1.400 píxeles y una densidad de píxeles de 517 ppp. Tiene soporte HDR y un brillo máximo de 1.500 nits

-CÁMARA PRINCIPAL:
En la parte frontal tenemos la cámara para selfies del Galaxy S21 Ultra, con 40 Mpx de resolución. Su apertura es de f/2.2. El Galaxy S21 Ultra puede grabar vídeo a una resolución máxima de 8K Además contamos con estabilizador óptico para vídeo. El Galaxy S21 Ultra cuenta con cámara cuádruple. El sensor principal es de 108 Mpx f/1.8, se le añade un gran angular de 12 Mpx f/2.2 y completa la configuración con dos telefotos de 10 Mpx, el primero con zoom 3X (f/2.4) y el segundo con zoom 10x (f/4.9)."
1,Celular Smartphone Samsung Galaxy A14 5G...,https://www.falabella.com/falabella-cl/product/prod82388371/Celular-Smartphone-Samsung-Galaxy-A14-5G-128-GB/16733881,SAMSUNG,$ 179.990 -,10 Cuotas s/interés CMR,"Pantalla de 6,6 pulgadas
Cámara de 50 MP
Procesador de ocho núcleos
Batería de larga duración
Disfruta lo que te encanta en colores vibrantes
Amplía tu campo de visión con la pantalla Infinity-V Display de 6,6 pulgadas del Galaxy A14 5G y mira lo que te perdiste. Experimenta lo que te encanta en alta definición y con colores reales gracias a la tecnología de pantalla FHD+.
* Imágenes simuladas solo con fines ilustrativos.
** Medido en diagonal, el tamaño de la pantalla es de 6,6 pulgadas como un rectángulo completo y de 6,4 pulgadas si se tienen en cuenta las esquinas redondeadas. El área visible real es menor debido a las esquinas redondeadas y al orificio de la cámara."
1,Celular Smartphone Samsung Galaxy A14 5G...,https://www.falabella.com/falabella-cl/product/prod82388371/Celular-Smartphone-Samsung-Galaxy-A14-5G-128-GB/16736968,SAMSUNG,$  189.990  ,10 Cuotas s/interés CMR,"Pantalla de 6,6 pulgadas
Cámara de 50 MP
Procesador de ocho núcleos
Batería de larga duración
Disfruta lo que te encanta en colores vibrantes
Amplía tu campo de visión con la pantalla Infinity-V Display de 6,6 pulgadas del Galaxy A14 5G y mira lo que te perdiste. Experimenta lo que te encanta en alta definición y con colores reales gracias a la tecnología de pantalla FHD+.
* Imágenes simuladas solo con fines ilustrativos.
** Medido en diagonal, el tamaño de la pantalla es de 6,6 pulgadas como un rectángulo completo y de 6,4 pulgadas si se tienen en cuenta las esquinas redondeadas. El área visible real es menor debido a las esquinas redondeadas y al orificio de la cámara."
1,Celular Smartphone Motorola E22i 64GB Gris,https://www.falabella.com/falabella-cl/product/16682177/Celular-Smartphone-Motorola-E22i-64GB-Gris/16682177,MOTOROLA,$  79.990  ,10 Cuotas s/interés CMR,"Ficha del producto:
Alto: 163.56 mm
Ancho: 74.65 mm
Camara frontal: 5MP
Camara posterior: 16MP
Compania: Liberado
Condicion del producto: Nuevo
Conectividad: 4G
Conexion bluetooth: Sí
Duracion en condiciones prev de uso: 24 MESES
Garantia del proveedor: 12 MESES
Gps integrado: Sí
Hecho en: China
Lector de huella: Sí
Marca y modelo del procesador: Media Tek MTKG37
Memoria expandible: Sobre 512GB
Memoria externa incluida: No
Memoria interna: 64GB
Memoria ram: 2GB
Nucleos del procesador: Octa Core
Pais: Chile
Peso: 169 grs
Plazo de disponibilidad de repuestos: 12 meses
Plazo de disponibilidad de serv tec: 12 meses
Producto perecible: No
Profundidad: 7.99 mm
Sistema operativo: Android
Tamano de la pantalla: 6.5 pulgadas
Tipo celulares: Smartphones
Tipo de pantalla computacion: IPS
Velocidad del procesador: Cortex A53x4: 2.3Ghz, L2: 512KB
Accesorios que incluye: Cargador y cable
Capacidad de la bateria: 4020 mAh
Carga rapida: Sí
Dual sim: No
Flash frontal: No
Informacion adicional: Sistema de 2 cámaras posteriores 16Mpx+2Mpx
Nombre comercial: Moto e22i
Potencia de carga: 10W"
